Description,Price,Rating,ReviewCount,URL
"Stylera 8 Inch Bolt Cutter for Cutting Bolts, Chain , Threaded Rod, etc. Wire Breaking Plier",₹299,1.0 out of 5 stars,1,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A04845262AFUN2OT0YURD&url=%2FStylera-Cutter-Cutting-Threaded-Breaking%2Fdp%2FB08HVQZP68%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3Dhydraulic%2Bcrimping%2Btool%26qid%3D1606288537%26sr%3D8-49-spons%26psc%3D1&qualifier=1606288536&id=8276098039162834&widgetName=sp_atf_next
DARIT Smash Professional Carpenter’s Pincer 8 Inch with Premium Chrome Vanadium Steel,₹575,,,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05036163H9ORE68XSQ2R&url=%2FDARIT-Professional-Carpenters-Premium-Vanadium%2Fdp%2FB08DNLXPPC%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3Dhydraulic%2Bcrimping%2Btool%26qid%3D1606288537%26sr%3D8-50-spons%26psc%3D1&qualifier=1606288536&id=8276098039162834&widgetName=sp_atf_next
"Atozshop11@ Quick Hydraulic Crimper Cable Plier Crimping Tool Kit 16-300mm 11 Die, 16 Ton","₹4,000",,,https://www.amazon.in//Atozshop11-Hydraulic-Crimper-Crimping-16-300mm/dp/B081W7QPGY/ref=sr_1_51?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288537&sr=8-51
16 Ton Hydraulic Crimping Tool with 22mm Stroke,"₹12,999",4.6 out of 5 stars,30,https://www.amazon.in//Hydraulic-Crimping-Tool-22mm-Stroke/dp/B0046D2X48/ref=sr_1_52?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288537&sr=8-52
"Quick Hydraulic Crimper Cable Plier Crimping Tool Kit 16-300mm 11 Die, 16 Ton","₹4,000",,,https://www.amazon.in//Quick-Hydraulic-Crimper-Crimping-16-300mm/dp/B07H82TC82/ref=sr_1_53?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288537&sr=8-53
"XTRA 300HD 12 Ton Hydraulic Cable Crimping Plier Tool Kit (10-300 mm, 2 11 Die)","₹4,850",,,https://www.amazon.in//XTRA-300HD-Hydraulic-Crimping-10-300/dp/B08KP5FX19/ref=sr_1_54?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288537&sr=8-54
"3 in 1 Tubing Tube Bender Aluminium Copper and Steel Fuel Brake Line, 6/8/10 mm",₹595,4.0 out of 5 stars,9,https://www.amazon.in//Tubing-Bender-Aluminum-Copper-Steel/dp/B073ZY7VMX/ref=sr_1_55?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288537&sr=8-55
Generic EBIVAEB52955 Wire Stripping Tool 8 Inch Self-Adjusting Cable Stripper Industry Stranded Wire Cutting,₹568,4.2 out of 5 stars,271,https://www.amazon.in//Generic-Stripping-Self-Adjusting-Stripper-Industry/dp/B072DVNP5W/ref=sr_1_56?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288537&sr=8-56
Honelife YQK-70 Manual Crimper Hydraulic Crimping Plier Compression Tools Range 4-70mm² 6T Output Pressure 10mm Stroke,"₹12,429",,,https://www.amazon.in//Honelife-Hydraulic-Crimping-Compression-Pressure/dp/B08KXT3S93/ref=sr_1_57?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288537&sr=8-57
Tools-4-All 10 Ton Quick Hydraulic CrimpingTools Kit (10-300 sq mm) -Set of 12,"₹3,500",5.0 out of 5 stars,1,https://www.amazon.in//Tools-4-All-Quick-Hydraulic-CrimpingTools-10-300/dp/B07FLYP2G7/ref=sr_1_58?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288537&sr=8-58
Tooarts YQK-70 Manual Crimper Hydraulic Crimping Plier Compression Tools Range 4-70mm² 6T Output Pressure 10mm Stroke,"₹14,589",,,https://www.amazon.in//Tooarts-Hydraulic-Crimping-Compression-Pressure/dp/B08NC4RKRX/ref=sr_1_60?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288537&sr=8-60
Power House 300mm Hydraulic Crimping Tool,"₹2,799",,,https://www.amazon.in//Power-House-300mm-Hydraulic-Crimping/dp/B08MV7VVPH/ref=sr_1_61?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288537&sr=8-61
XTRA 50-B Mechanic Rotating Dies Crimping Hand Tool (6 to 50 Sq Mm),"₹1,775",,,https://www.amazon.in//XTRA-50-B-Mechanic-Rotating-Crimping/dp/B08KQBCTJ1/ref=sr_1_62?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288537&sr=8-62
Tool Zone YT-22862 Quick Hydraulic Crimping Tools Kit 16-300 sq mm (11 Set of Dies),"₹4,999",,,https://www.amazon.in//Tool-Zone-YT-22862-Hydraulic-Crimping/dp/B08NYRJZ9M/ref=sr_1_63?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288537&sr=8-63
"LEYDEN® YQK-300 Hydraulic Crimping Tool 16-300mm2 for Copper, Aluminum Terminal Pliers YQK-300 Hydraulic New Manual Hydraulic Crimper (Yellow) 1 Piece Manual Hydraulic Crimper","₹3,999",,,https://www.amazon.in//YQK-300-Hydraulic-Crimping-16-300mm2-Aluminum/dp/B08MXZ5JXS/ref=sr_1_64?dchild=1&keywords=hydraulic+crimping+tool&qid=1606288537&sr=8-64
